date,currp,openp,highp,lowp,change
2016_ 05_ 16_,1178.20,1175.65,1181.30,1174.29,0.00
2016_ 05_ 13_,1176.80,1169.19,1181.03,1164.80,0.01
2016_ 05_ 12_,1170.35,1164.19,1171.46,1160.73,0.00
2016_ 05_ 11_,1165.55,1169.59,1173.56,1161.19,0.00
2016_ 05_ 10_,1170.94,1174.29,1176.95,1168.69,0.00
2016_ 05_ 09_,1175.60,1168.70,1179.46,1162.00,0.01
2016_ 05_ 06_,1169.30,1166.59,1176.14,1164.99,0.00
2016_ 05_ 05_,1167.89,1165.79,1172.00,1162.15,0.00
2016_ 05_ 04_,1167.10,1150.49,1168.11,1148.80,0.01
2016_ 05_ 03_,1151.89,1135.79,1152.63,1132.37,0.01
2016_ 05_ 02_,1137.10,1144.10,1146.90,1135.39,-0.01
2016_ 04_ 29_,1144.83,1136.29,1149.07,1132.90,0.01
2016_ 04_ 28_,1137.60,1148.01,1150.51,1134.89,-0.01
2016_ 04_ 27_,1149.01,1146.90,1154.93,1141.59,0.00
2016_ 04_ 26_,1147.90,1150.21,1152.80,1145.09,0.00
2016_ 04_ 25_,1151.21,1148.40,1152.90,1144.74,0.00
